"","year","region","Category","gdp_income_scalingfactor","gdp_percap","Income"
"1775",1990,"Central America and Caribbean","d5",0.0415257946003966,3432.5401323576,142.5389564939
"1776",1990,"Central America and Caribbean","d6",0.053973814246122,3432.5401323576,185.267283496228
"1777",1990,"Central America and Caribbean","d7",0.0710769839544579,3432.5401323576,243.974599910614
"1778",1990,"Central America and Caribbean","d8",0.0927308761795322,3432.5401323576,318.302453994927
"1779",1990,"Central America and Caribbean","d9",0.145714091728091,3432.5401323576,500.169467706709
"1780",1990,"Central America and Caribbean","d10",0.343984307197665,3432.5401323576,1180.73993935721
"1781",2005,"Central America and Caribbean","d1",0.00609551337481937,4264.88937470368,25.9966902256313
"1782",2005,"Central America and Caribbean","d2",0.0153676048559441,4264.88937470368,65.5411346647605
"1783",2005,"Central America and Caribbean","d3",0.0238496166301492,4264.88937470368,101.71597655668
"1784",2005,"Central America and Caribbean","d4",0.0315285449082605,4264.88937470368,134.465756179108
"1785",2005,"Central America and Caribbean","d5",0.0415257946003966,4264.88937470368,177.102920167359
"1786",2005,"Central America and Caribbean","d6",0.053973814246122,4264.88937470368,230.192346890516
"1787",2005,"Central America and Caribbean","d7",0.0710769839544579,4264.88937470368,303.135473653352
"1788",2005,"Central America and Caribbean","d8",0.0927308761795322,4264.88937470368,395.486928525049
"1789",2005,"Central America and Caribbean","d9",0.145714091728091,4264.88937470368,621.454481555733
"1790",2005,"Central America and Caribbean","d10",0.343984307197665,4264.88937470368,1467.05501683213
"1791",2010,"Central America and Caribbean","d1",0.00609551337481937,4892.07794132174,29.8197265219855
"1792",2010,"Central America and Caribbean","d2",0.0153676048559441,4892.07794132174,75.1795207267128
"1793",2010,"Central America and Caribbean","d3",0.0238496166301492,4892.07794132174,116.674183425333
"1794",2010,"Central America and Caribbean","d4",0.0315285449082605,4892.07794132174,154.240099067673
"1795",2010,"Central America and Caribbean","d5",0.0415257946003966,4892.07794132174,203.147423760458
"1796",2010,"Central America and Caribbean","d6",0.053973814246122,4892.07794132174,264.044106082451
"1797",2010,"Central America and Caribbean","d7",0.0710769839544579,4892.07794132174,347.714145339283
"1798",2010,"Central America and Caribbean","d8",0.0927308761795322,4892.07794132174,453.646673837327
"1799",2010,"Central America and Caribbean","d9",0.145714091728091,4892.07794132174,712.844693882727
"1800",2010,"Central America and Caribbean","d10",0.343984307197665,4892.07794132174,1682.79804140254
"1801",2015,"Central America and Caribbean","d1",0.00609551337481937,5505.35714285714,33.5579780974431
"1802",2015,"Central America and Caribbean","d2",0.0153676048559441,5505.35714285714,84.6041531622777
"1803",2015,"Central America and Caribbean","d3",0.0238496166301492,5505.35714285714,131.300657269196
"1804",2015,"Central America and Caribbean","d4",0.0315285449082605,5505.35714285714,173.575899914584
"1805",2015,"Central America and Caribbean","d5",0.0415257946003966,5505.35714285714,228.614329916112
"1806",2015,"Central America and Caribbean","d6",0.053973814246122,5505.35714285714,297.145123787133
"1807",2015,"Central America and Caribbean","d7",0.0710769839544579,5505.35714285714,391.304181306417
"1808",2015,"Central America and Caribbean","d8",0.0927308761795322,5505.35714285714,510.516591538389
"1809",2015,"Central America and Caribbean","d9",0.145714091728091,5505.35714285714,802.208115710187
"1810",2015,"Central America and Caribbean","d10",0.343984307197665,5505.35714285714,1893.75646266143
"1811",2020,"Central America and Caribbean","d1",0.00609551337481937,6014.86163035063,36.6636695154901
"1812",2020,"Central America and Caribbean","d2",0.0153676048559441,6014.86163035063,92.4340167984079
"1813",2020,"Central America and Caribbean","d3",0.0238496166301492,6014.86163035063,143.452143967257
"1814",2020,"Central America and Caribbean","d4",0.0315285449082605,6014.86163035063,189.639835029483
"1815",2020,"Central America and Caribbean","d5",0.0415257946003966,6014.86163035063,249.771908611747
"1816",2020,"Central America and Caribbean","d6",0.053973814246122,6014.86163035063,324.645024352671
"1817",2020,"Central America and Caribbean","d7",0.0710769839544579,6014.86163035063,427.518223588716
"1818",2020,"Central America and Caribbean","d8",0.0927308761795322,6014.86163035063,557.763389081063
"1819",2020,"Central America and Caribbean","d9",0.145714091728091,6014.86163035063,876.450099336686
"1820",2020,"Central America and Caribbean","d10",0.343984307197665,6014.86163035063,2069.01801080598
"1821",2025,"Central America and Caribbean","d1",0.00609551337481937,6760.26433634704,41.2072816795178
"1822",2025,"Central America and Caribbean","d2",0.0153676048559441,6760.26433634704,103.889071042712
"1823",2025,"Central America and Caribbean","d3",0.0238496166301492,6760.26433634704,161.229712740347
"1824",2025,"Central America and Caribbean","d4",0.0315285449082605,6760.26433634704,213.14129772023
"1825",2025,"Central America and Caribbean","d5",0.0415257946003966,6760.26433634704,280.725348275534
"1826",2025,"Central America and Caribbean","d6",0.053973814246122,6760.26433634704,364.877251544679
"1827",2025,"Central America and Caribbean","d7",0.0710769839544579,6760.26433634704,480.499199762433
"1828",2025,"Central America and Caribbean","d8",0.0927308761795322,6760.26433634704,626.885235114705
"1829",2025,"Central America and Caribbean","d9",0.145714091728091,6760.26433634704,985.065777612615
"1830",2025,"Central America and Caribbean","d10",0.343984307197665,6760.26433634704,2325.42484421142
"1831",2030,"Central America and Caribbean","d1",0.00609551337481937,7746.35193704724,47.2179918383294
"1832",2030,"Central America and Caribbean","d2",0.0153676048559441,7746.35193704724,119.042875643619
"1833",2030,"Central America and Caribbean","d3",0.0238496166301492,7746.35193704724,184.74752398079
"1834",2030,"Central America and Caribbean","d4",0.0315285449082605,7746.35193704724,244.231204922385
"1835",2030,"Central America and Caribbean","d5",0.0415257946003966,7746.35193704724,321.673419440208
"1836",2030,"Central America and Caribbean","d6",0.053973814246122,7746.35193704724,418.100160535276
"1837",2030,"Central America and Caribbean","d7",0.0710769839544579,7746.35193704724,550.587332335091
"1838",2030,"Central America and Caribbean","d8",0.0927308761795322,7746.35193704724,718.326002317407
"1839",2030,"Central America and Caribbean","d9",0.145714091728091,7746.35193704724,1128.75263671298
"1840",2030,"Central America and Caribbean","d10",0.343984307197665,7746.35193704724,2664.62350437448
